Mes,ipc,dolar,iipc,fecha,fecha1
julio - 2022,851.8,131.27,8.79478751,07/2022,630
agosto - 2022,911.1,131.27,8.22236857,08/2022,631
septiembre - 2022,967.3,147.32,7.74465006,09/2022,632
octubre - 2022,1028.7,156.91,7.28239526,10/2022,633
noviembre - 2022,1079.3,167.28,6.94098026,11/2022,634
diciembre - 2022,1134.6,177.16,6.60267936,12/2022,635
enero - 2023,1203,187,6.22726517,01/2023,636
febrero - 2023,1282.7,197.15,5.84033679,02/2023,637
marzo - 2023,1381.2,209.01,5.42383435,03/2023,638
abril - 2023,1497.2,222.68,5.00360673,04/2023,639
mayo - 2023,1613.6,239.5,4.64266237,05/2023,640
junio - 2023,1709.6,256.7,4.38196069,06/2023,641
julio - 2023,1818.1,275.25,4.12045542,07/2023,642
agosto - 2023,2044.3,350.1,3.66453065,08/2023,643
septiembre - 2023,2304.9,349.95,3.25020608,09/2023,644
octubre - 2023,2496.3,349.95,3.00100148,10/2023,645
noviembre - 2023,2816.1,360.5,2.66020383,11/2023,646
diciembre - 2023,3533.2,808.45,2.12028756,12/2023,647
enero - 2024,4261.5,826.4,1.75792561,01/2024,648
febrero - 2024,4825.8,842.2,1.55236437,02/2024,649
marzo - 2024,5357.1,858,1.39840585,03/2024,650
abril - 2024,5830.2,876.5,1.28493019,04/2024,651
mayo - 2024,6073.7,895.5,1.23341620,05/2024,652
junio - 2024,6351.7,912,1.17943228,06/2024,653
julio - 2024,6607.7,932,1.13373791,07/2024,654
jagosto - 2024,6883.4,953.5,1.08832844,08/2024,655
jseptiembre - 2024,7122.2,969,1.05183792,09/2024,656
joctubre - 2024,7314,992,1.02425485,10/2024,657
jnoviembre - 2024,7491.4,1011.5,1,11/2024,658
jdiciembre - 2024,7491.4,1011.5,1,12/2024,659
