Mes,ipc,dolar,iipc,fecha,fecha1
Julio - 2022,851.8,131.27,8.08100493,07/2022,630
Agosto - 2022,911.1,131.27,7.55504335,08/2022,631
Septiembre - 2022,967.3,147.32,7.11609635,09/2022,632
Octubre - 2022,1028.7,156.91,6.69135802,10/2022,633
Noviembre - 2022,1079.3,167.28,6.37765218,11/2022,634
Diciembre - 2022,1134.6,177.16,6.06680769,12/2022,635
Enero - 2023,1203,187,5.72186201,01/2023,636
Febrero - 2023,1282.7,197.15,5.36633663,02/2023,637
Marzo - 2023,1381.2,209.01,4.98363742,03/2023,638
Abril - 2023,1497.2,222.68,4.59751536,04/2023,639
Mayo - 2023,1613.6,239.5,4.26586515,05/2023,640
Junio - 2023,1709.6,256.7,4.02632195,06/2023,641
Julio - 2023,1818.1,275.25,3.78604037,07/2023,642
Agosto - 2023,2044.3,350.1,3.36711833,08/2023,643
Septiembre - 2023,2304.9,349.95,2.98642024,09/2023,644
Octubre - 2023,2496.3,349.95,2.75744101,10/2023,645
Noviembre - 2023,2816.1,360.5,2.4443024,11/2023,646
Diciembre - 2023,3533.2,808.45,1.94820559,12/2023,647
Enero - 2024,4261.5,826.4,1.61525285,01/2024,648
Febrero - 2024,4825.8,842.2,1.4263749,02/2024,649
Marzo - 2024,5357.1,858,1.28491161,03/2024,650
Abril - 2024,5830.2,876.5,1.1806456,04/2024,651
Mayo - 2024,6073.7,895.5,1.13331248,05/2024,652
Junio - 2024,6351.7,912,1.08370987,06/2024,653
Julio - 2024,6607.7,932,1.04172405,07/2024,654
Agosto - 2024,6883.4,953.5,1,08/2024,655
Septiembre - 2024,6883.4,969,1,09/2024,656
